feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV29	Filtered	yes	-0.0880021553756526	0.00742857472224803	16	12	1.10328581706033e-08	7.63473785405751e-06
ASV245	Filtered	yes	-0.0239034056759371	0.00227467347767633	16	9	5.0363785193869e-08	1.74258696770787e-05
ASV262	Filtered	yes	-0.0287049415564104	0.00384435286924286	16	8	3.02789977345417e-06	0.000698435547743429
ASV3	Filtered	yes	1.02986430193564	0.144614878652168	16	16	5.16067382487987e-06	0.000892796571704218
ASV47	Filtered	yes	-0.09074298342983	0.0148114338883514	16	10	2.62126135994283e-05	0.00362782572216087
ASV78	Filtered	yes	-0.0555452436100649	0.0095272199698109	16	10	4.36722108544465e-05	0.00503686165187949
ASV85	Filtered	yes	-0.0371193821536643	0.0064670625752344	16	7	5.11538426998144e-05	0.00505692273546737
ASV87	Filtered	yes	-0.044464663303287	0.00896433633208719	16	11	0.000209446325500312	0.0144936857246216
ASV194	Filtered	yes	-0.0219725577169379	0.00438436415136512	16	7	0.000190387089993622	0.0144936857246216
ASV307	Filtered	yes	-0.0248169812321917	0.00496954286675942	16	7	0.00019675940719502	0.0144936857246216
ASV98	Filtered	yes	-0.0218361396035921	0.0045708260293519	16	7	0.000294897273530377	0.0185517193893656
ASV64	Filtered	yes	-0.063728452399878	0.0138481947382385	16	8	0.000410950217901046	0.0236981292322936
ASV183	Filtered	yes	-0.0331706999989847	0.00739274899349074	16	9	0.000511847993595854	0.0272460624283332
ASV46	Filtered	yes	-0.0632856098305752	0.0146422167155146	16	10	0.000702813398751539	0.0274423831592356
ASV52	Filtered	yes	-0.0325347291607659	0.00759056846545057	16	10	0.000753392154203629	0.0274423831592356
ASV119	Filtered	yes	-0.0449813911716075	0.0103904905186378	16	7	0.000693426783641703	0.0274423831592356
ASV184	Filtered	yes	-0.0305462474652926	0.00712673786652066	16	6	0.000753475838187104	0.0274423831592356
ASV193	Filtered	yes	-0.0313035958696406	0.00717328781156213	16	6	0.000648357634605227	0.0274423831592356
