Variant	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17
ASV3	42564	52547	104	171	32730	43817	114	122	26078	26264	112	132	11401	29076	198	132	136
ASV5	57	24513	633	959	12755	31347	78	58	50	68	38	51	48	42	45	33	33
ASV6	9	14	27	31	14241	36164	138	2474	18	27	20	14	14	23	22	18	24
ASV7	25	27	19	16	23	21	25	7	16	13	19088	18451	15	13	1613	18	28
ASV8	0	22715	125	150	677	11058	69	53	31	0	24	0	0	30	58	37	25
ASV9	27	17	89	53	24	21	19	14	26	12	11699	12221	25	27	4319	3741	40
ASV10	18	9907	2693	2476	2422	15	2712	3956	15	13	23	30	9	13	64	19	17
ASV11	0	16	18	10	9	0	0	0	7	11	8	0	0	0	15	7	21352
ASV12	18475	7	20	0	90	1614	23	27	7	9	9	14	7	16	10	0	17
ASV13	24	21	0	0	19	13	28	16	12	10	18	38	0	12	71	45	12648
ASV14	5	11	32	38	9	14	9	8	16	19	432	69	5	9	5952	4760	8
ASV15	3	8	906	882	783	0	4873	2734	3	4	20	10	4	3	276	139	0
ASV16	7	808	595	1006	3158	4	1067	646	7	10	215	330	9	5	1165	1031	22
ASV17	0	5	0	11	0	5	0	0	5	0	0	0	0	0	0	10	9563
ASV18	0	5	4349	5129	0	5	0	5	7	2	6	3	0	4	0	0	0
ASV19	9	0	185	125	0	7409	448	1102	0	0	0	0	0	4	30	9	12
ASV20	0	6	4	7	4	12	9	15	11	0	3894	566	3	0	3423	1229	0
ASV22	5	5	6	0	0	3	2	0	0	3	0	8	0	8	0	8	7950
ASV23	0	0	0	0	7812	0	0	40	0	0	0	0	0	10	0	0	0
ASV24	0	3	0	0	5	0	0	4	0	2	6485	918	0	0	0	0	5
ASV25	0	16	1685	1936	0	0	460	658	15	0	30	46	0	0	131	81	2228
ASV26	0	0	54	51	4802	0	1080	225	0	0	0	999	0	0	0	0	21
ASV27	5	3	13	11	6859	0	199	68	0	0	2	0	0	0	0	0	4
ASV28	0	12	34	0	5517	17	686	321	0	18	0	0	0	0	0	0	31
ASV29	4	3	562	570	0	3	538	1042	0	0	260	191	2	0	429	142	2416
ASV30	0	5	286	328	5	0	1310	4178	5	4	6	0	0	0	9	0	0
ASV31	2	0	458	330	996	0	1943	2171	0	5	4	8	3	0	39	24	0
ASV32	0	0	175	206	0	0	2967	2356	0	0	0	0	0	0	0	0	0
ASV33	0	0	0	3	5308	0	27	174	0	0	3	0	0	2	5	0	0
ASV35	0	0	0	0	4741	5	308	47	0	0	0	0	0	4	0	0	0
ASV36	5	0	0	12	0	0	7	3	5	0	725	1265	2	0	1540	890	621
ASV37	0	0	259	185	0	0	1394	3056	0	0	0	0	0	0	106	0	0
ASV38	0	0	201	205	184	5	1219	2818	0	0	2	3	0	0	0	0	0
ASV39	0	0	0	0	4414	6	0	85	0	0	0	0	0	0	0	0	0
ASV40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4458
ASV42	15	0	416	470	2585	0	379	278	0	0	28	0	0	0	0	0	30
ASV43	3	0	2	3	0	0	86	0	0	0	3	0	0	0	3	0	4026
ASV44	3	4	379	1309	29	0	2006	375	0	0	0	2	0	0	0	0	0
ASV45	0	0	1404	1252	0	3	115	1269	0	0	0	2	0	0	0	0	0
ASV46	0	4	402	330	879	0	725	1025	0	0	52	38	0	0	276	129	0
ASV47	0	0	228	190	0	0	298	392	0	8	1204	215	6	0	727	469	0
ASV48	0	0	0	0	0	0	476	169	0	0	0	10	0	0	0	0	3079
ASV49	0	0	716	783	0	0	903	1289	0	0	0	6	0	0	0	0	2
ASV50	0	16	130	121	0	0	0	0	0	12	188	182	0	0	897	2116	0
ASV51	4	0	3	0	3	0	6	0	0	0	0	0	3	0	0	0	3595
ASV52	4	0	0	9	0	3	159	297	4	0	37	51	0	0	85	102	2832
ASV54	2	4	1227	1434	0	0	343	80	0	0	0	2	0	0	0	0	238
ASV55	0	8	0	7	9	0	13	18	0	0	0	764	0	0	1566	888	8
ASV56	0	0	255	242	0	0	1763	569	0	0	0	0	0	0	0	0	393
ASV57	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	3193
ASV58	0	0	1324	1805	0	0	24	30	0	0	0	0	0	0	4	0	0
ASV59	0	0	218	90	0	0	1066	429	0	0	0	0	0	0	6	0	1307
ASV60	0	0	1122	125	0	0	805	780	0	0	4	0	3	0	0	0	48
ASV62	0	0	124	134	0	0	1110	1261	0	0	0	0	0	0	138	23	0
ASV63	0	0	114	114	1273	0	662	533	0	0	0	12	0	0	20	22	0
ASV64	0	0	449	543	0	0	738	711	0	0	11	14	0	0	32	80	0
ASV65	3	0	8	6	0	0	1349	1194	0	0	0	0	0	0	0	0	0
ASV66	0	0	284	276	0	0	203	165	3	0	0	0	2	0	1237	233	45
ASV67	5	4	0	21	0	3	0	51	0	2	0	3	7	0	8	545	1701
ASV68	0	0	0	73	2218	0	0	21	0	0	3	0	0	0	0	0	7
ASV69	0	0	12	17	0	0	1612	670	0	0	0	0	0	3	6	0	0
ASV70	0	0	710	448	0	0	593	416	0	0	70	7	0	0	46	12	0
ASV71	0	0	0	0	0	0	0	0	7	8	462	269	3	0	790	759	0
ASV72	0	4	83	41	0	8	15	0	0	6	13	30	0	0	1241	853	0
ASV73	0	0	55	40	0	0	1009	1130	0	0	0	4	0	0	23	8	0
ASV74	0	0	426	385	0	0	1098	284	0	0	0	0	0	0	0	0	57
ASV75	0	0	0	0	0	0	925	537	4	0	0	0	0	0	0	0	780
ASV76	0	0	115	208	168	794	116	22	0	0	0	0	0	4	0	0	744
ASV77	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	39	2083
ASV78	0	0	255	221	0	0	399	973	9	0	29	35	5	0	80	119	0
ASV79	0	0	229	186	0	4	311	1056	0	0	0	0	0	0	216	117	0
ASV80	1849	0	0	0	0	191	5	14	0	0	0	0	0	0	0	0	0
ASV81	0	0	0	0	687	881	147	175	0	0	0	0	0	0	108	29	0
ASV82	0	0	136	187	0	0	793	868	0	0	0	0	0	0	24	0	0
ASV83	0	0	0	0	0	0	511	1327	0	0	0	0	0	0	69	71	0
ASV84	2	0	4	3	4	0	30	7	0	0	71	288	3	0	709	834	0
ASV85	0	0	83	111	0	0	144	220	0	0	0	13	0	0	90	58	1233
ASV86	0	0	24	49	0	0	544	1187	0	0	12	10	0	0	52	29	0
ASV87	0	0	185	188	3	2	579	182	0	4	11	7	0	0	121	32	526
ASV88	0	0	380	136	0	0	617	663	0	0	0	0	0	0	0	0	13
ASV89	0	0	118	155	0	0	522	1008	0	0	0	0	0	0	0	0	0
ASV90	0	0	370	317	0	0	534	554	0	0	0	3	0	0	9	0	14
ASV91	0	0	83	62	0	0	124	84	0	0	0	0	0	0	0	0	1412
ASV92	4	0	2	356	0	0	562	809	0	0	0	0	0	0	0	0	0
ASV93	0	0	0	0	0	1707	0	0	0	0	0	0	0	0	0	0	0
ASV94	0	0	90	51	9	8	15	0	9	0	0	0	6	0	717	783	9
ASV95	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1691
ASV96	0	0	228	279	0	0	114	111	0	0	0	0	0	0	0	0	956
ASV97	0	0	506	1048	0	0	66	42	0	0	0	0	0	0	0	0	0
ASV98	0	0	30	47	0	0	132	92	0	0	0	5	0	0	16	5	1314
ASV99	0	0	104	0	0	0	968	513	0	0	0	0	0	0	0	0	0
ASV100	0	0	617	130	791	0	0	0	0	0	0	8	0	0	10	6	0
ASV101	0	0	116	117	0	0	715	479	0	0	6	0	0	0	77	25	0
ASV102	0	0	191	135	0	0	723	472	0	0	0	0	0	0	0	0	0
ASV103	0	0	52	73	0	0	347	1013	0	0	0	0	0	0	0	15	0
ASV104	0	5	0	0	0	0	852	627	4	0	0	0	0	0	0	0	0
ASV105	0	0	259	0	0	0	759	465	0	0	0	0	0	0	0	0	0
ASV106	0	0	9	7	0	0	100	546	0	0	77	89	0	0	484	158	0
ASV107	0	0	50	61	0	0	601	666	0	0	0	0	0	0	31	24	0
ASV108	0	0	0	0	0	0	20	25	0	0	90	144	0	0	129	1020	0
ASV110	0	11	84	69	0	0	391	854	0	0	0	0	0	0	16	0	0
ASV111	0	0	54	81	0	0	618	572	0	0	0	0	0	0	76	20	0
ASV112	0	0	0	0	0	0	31	11	0	0	0	0	0	0	0	0	1357
ASV113	4	0	170	116	0	0	319	684	0	0	0	0	0	0	89	14	0
ASV114	0	0	6	0	0	0	105	1283	0	0	0	0	0	0	0	0	0
ASV115	0	0	81	261	148	726	0	0	0	0	13	16	0	0	121	0	0
ASV116	0	0	3	0	0	0	28	14	0	0	3	0	0	0	0	0	1315
ASV117	0	5	29	31	0	0	225	315	0	5	0	0	0	0	374	332	0
ASV119	0	0	97	127	4	0	369	322	0	0	0	0	0	0	178	136	74
ASV120	0	0	0	0	0	0	0	0	0	0	1112	59	0	0	83	22	0
ASV121	0	0	0	0	0	2	641	609	0	0	0	0	0	0	0	0	2
ASV122	0	0	14	16	0	0	524	655	0	0	0	0	0	0	3	0	3
ASV123	0	0	139	55	0	0	525	468	0	0	0	0	0	0	0	0	0
ASV124	0	0	10	0	0	0	0	0	0	0	545	565	0	0	41	0	0
ASV125	0	0	122	160	0	0	112	115	0	0	0	0	0	0	0	0	626
ASV126	0	0	0	0	0	0	347	661	0	0	0	0	0	0	99	17	0
ASV127	0	0	28	0	0	0	46	0	0	0	0	0	0	0	0	0	1018
ASV128	0	0	56	45	0	0	593	388	0	0	0	0	0	0	8	0	0
ASV130	0	0	171	584	0	0	0	294	0	0	0	0	0	0	0	0	0
ASV131	0	0	62	45	0	0	339	590	0	0	0	0	0	0	0	0	0
ASV132	0	0	0	0	1030	0	0	0	0	0	0	0	0	0	0	0	0
ASV133	0	0	43	37	0	0	58	0	0	0	0	0	0	0	0	0	884
ASV135	0	0	31	48	0	0	291	628	0	0	0	0	0	0	0	0	0
ASV136	0	0	0	0	0	0	32	0	0	2	0	5	0	0	724	234	0
ASV137	0	0	31	33	533	0	0	0	0	0	53	77	4	0	160	105	0
ASV138	0	0	0	2	0	2	5	5	0	0	0	3	0	0	447	526	0
ASV139	0	0	0	0	866	0	80	44	0	0	0	0	0	0	0	0	0
ASV140	0	0	731	236	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV141	0	0	241	225	0	0	72	111	0	0	0	0	16	0	24	0	268
ASV142	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9	0	943
ASV143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	950
ASV144	0	0	11	2	0	0	0	0	0	0	3	148	0	2	662	121	0
ASV145	0	739	25	33	0	0	53	79	0	0	0	0	0	5	0	0	0
ASV146	0	0	10	22	165	0	354	373	0	0	0	0	0	0	4	0	3
ASV147	0	0	85	75	0	0	281	437	0	0	0	0	0	0	17	11	0
ASV149	0	0	9	42	3	5	539	287	0	0	6	0	0	0	0	4	7
ASV150	0	0	0	0	902	0	0	0	0	0	0	0	0	0	0	0	0
ASV151	0	0	71	101	0	0	389	340	0	0	0	0	0	0	0	0	0
ASV152	0	0	0	16	187	0	247	428	0	0	0	0	0	0	22	0	0
ASV153	0	0	108	111	0	0	201	478	0	0	0	0	0	0	0	0	0
ASV154	0	0	0	0	0	0	3	15	0	0	8	16	0	0	57	46	753
ASV155	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	874	0
ASV156	0	0	21	0	0	0	280	578	0	0	0	0	0	0	0	0	0
ASV157	0	0	57	63	0	0	528	171	0	0	0	0	0	0	37	9	0
ASV158	0	851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV159	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	846
ASV160	0	0	36	43	0	0	208	550	0	0	0	0	0	0	0	0	0
ASV161	0	0	4	0	0	0	248	575	0	0	0	0	0	0	0	0	0
ASV162	0	0	0	0	0	0	32	28	0	0	0	0	0	0	0	0	761
ASV164	0	0	249	452	0	0	62	38	0	0	0	0	0	0	0	0	0
ASV165	0	0	0	0	0	0	530	271	0	0	0	0	0	0	0	0	0
ASV166	0	0	315	220	0	0	108	129	0	0	6	0	0	0	0	0	0
ASV167	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	767
ASV168	0	0	19	39	0	0	342	364	0	0	0	0	0	0	0	0	0
ASV169	0	0	4	0	14	0	602	76	0	0	0	0	0	0	65	0	0
ASV170	0	0	0	0	4	4	0	0	0	0	27	82	0	0	0	644	0
ASV171	0	0	0	0	0	0	20	42	0	0	0	0	0	0	0	0	696
ASV172	0	0	0	12	0	0	0	0	0	0	0	0	0	0	577	161	0
ASV173	0	0	127	109	0	0	464	41	0	0	0	0	0	0	0	0	0
ASV174	0	0	77	313	0	0	139	206	0	0	0	0	0	0	0	0	0
ASV175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	727
ASV176	0	0	383	250	0	0	0	16	0	0	10	24	0	0	0	23	0
ASV177	0	0	0	0	0	0	0	0	0	0	490	207	0	0	0	0	0
ASV178	0	0	0	0	0	0	0	687	0	0	0	4	0	0	0	0	0
ASV179	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	683
ASV180	0	0	0	25	0	0	306	352	0	0	0	0	0	0	0	0	0
ASV181	0	0	95	82	0	0	248	43	0	0	0	0	0	0	0	0	213
ASV182	0	4	48	43	5	0	36	48	0	0	0	0	0	0	447	45	0
ASV183	0	0	150	207	69	0	63	69	0	0	24	6	0	0	52	34	0
ASV184	0	0	68	57	0	0	231	240	0	0	0	0	0	0	52	23	0
ASV185	0	0	0	0	0	0	248	416	0	0	0	0	0	0	0	0	0
ASV186	0	203	110	77	0	0	130	138	0	0	0	0	0	0	0	0	0
ASV187	0	0	53	80	0	0	452	73	0	0	0	0	0	0	0	0	0
ASV188	0	0	21	27	0	0	284	299	0	0	0	0	0	0	26	0	0
ASV189	0	0	0	0	0	0	0	0	0	0	253	397	0	0	0	0	0
ASV190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	649
ASV191	0	0	0	295	0	0	245	106	0	0	0	0	0	0	0	0	0
ASV192	0	0	0	0	0	0	61	572	0	0	0	0	0	0	0	0	0
ASV193	0	0	41	56	0	0	149	250	0	0	0	0	0	0	82	52	0
ASV194	0	0	0	12	0	0	37	43	0	0	100	19	0	0	24	17	377
ASV195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	628
ASV196	0	0	144	366	0	0	48	38	0	0	5	0	0	0	13	8	0
ASV197	0	0	0	6	0	0	288	325	0	0	0	0	0	0	0	0	0
ASV198	0	0	0	0	0	0	0	0	0	0	12	16	0	0	26	9	555
ASV199	0	0	292	324	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV200	0	0	543	72	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV201	0	0	9	0	0	0	176	430	0	0	0	0	0	0	0	0	0
ASV202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	611
ASV203	0	0	355	0	0	0	210	43	0	0	0	0	0	0	0	0	0
ASV204	0	604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV205	0	0	252	58	0	0	158	126	0	0	0	0	0	0	0	0	0
ASV207	0	0	0	0	0	0	121	469	0	0	0	0	0	0	0	0	0
ASV208	0	0	13	11	0	0	238	314	0	0	0	3	0	0	0	5	0
